"","sentence_id","token_id","before"
"391",30,21,"later"
"392",30,22,"."
"393",31,0,"Herry"
"394",31,1,"was"
"395",31,2,"born"
"396",31,3,"in"
"397",31,4,"Banda"
"398",31,5,"Aceh"
"399",31,6,","
"400",31,7,"Aceh"
"401",31,8,"from"
"402",31,9,"a"
"403",31,10,"Sundanese"
"404",31,11,"descendant"
"405",31,12,"."
"406",32,0,"He"
"407",32,1,"urged"
"408",32,2,"all"
"409",32,3,"political"
"410",32,4,"parties"
"411",32,5,"to"
"412",32,6,"protest"
"413",32,7,"the"
"414",32,8,"Indian"
"415",32,9,"project"
"416",32,10,"."
"417",33,0,"He"
"418",33,1,"helped"
"419",33,2,"his"
"420",33,3,"club"
"421",33,4,"to"
"422",33,5,"be"
"423",33,6,"champion"
"424",33,7,"of"
"425",33,8,"Galatama"
"426",33,9,"for"
"427",33,10,"4"
"428",33,11,"consecutive"
"429",33,12,"years"
"430",33,13,"."
"431",34,0,"In"
"432",34,1,"the"
"433",34,2,"1982"
"434",34,3,"championship"
"435",34,4,","
"436",34,5,"Brock"
"437",34,6,"came"
"438",34,7,"up"
"439",34,8,"against"
"440",34,9,"Jones"
"441",34,10,"in"
"442",34,11,"a"
"443",34,12,"well"
"444",34,13,"sorted"
"445",34,14,","
"446",34,15,"and"
"447",34,16,"slightly"
"448",34,17,"more"
"449",34,18,"powerful"
"450",34,19,"Porsche"
"451",34,20,"935"
"452",34,21,"turbo"
"453",34,22,"."
"454",35,0,""""
"455",35,1,"LaBarque"
"456",35,2,"Creek"
"457",35,3,"Conservation"
"458",35,4,"Area"
"459",35,5,"("
"460",35,6,"map"
"461",35,7,")"
"462",35,8,""""
"463",35,9,"."
"464",36,0,"Retrieved"
"465",36,1,"7 December 2015"
"466",36,2,"."
"467",37,0,""""
"468",37,1,"Manga"
"469",37,2,"Minis"
"470",37,3,","
"471",37,4,"11/17/09"
"472",37,5,""""
"473",37,6,"."
"474",38,0,""""
"475",38,1,"The"
"476",38,2,"Pines"
"477",38,3,"("
"478",38,4,"1065520"
"479",38,5,")"
"480",38,6,""""
"481",38,7,"."
"482",39,0,"Chang"
"483",39,1,"was"
"484",39,2,"born"
"485",39,3,"in"
"486",39,4,"Canton"
"487",39,5,","
"488",39,6,"part"
"489",39,7,"of"
"490",39,8,"a"
"491",39,9,"wealthy"
"492",39,10,"mercantile"
"493",39,11,"family"
"494",39,12,"with"
"495",39,13,"interests"
"496",39,14,"in"
"497",39,15,"Hong"
"498",39,16,"Kong"
"499",39,17,"and"
"500",39,18,"Shanghai"
