class,before,after
MONEY,US$ Million,million dollars
MONEY,€ MILLION,million euros
MONEY,M PLN,million polish zlotys
MONEY,$ Trillion,trillion dollars
MONEY,US$ BILLION,billion dollars
MONEY,DM  billion,billion german marks
MONEY,Billion Yen,billion yen
MONEY,CRC,costa rican colons
MONEY,Rs  lakh,lakh rupees
MONEY,NT$ billion,billion dollars
MONEY,trillion won,trillion won
MONEY,INR  crore,crore indian rupees
MONEY,MKMF,sil
MONEY,CYPE,sil
MONEY,A$ Million,million dollars
MONEY,CVE,cape verde escudos
MONEY,XPT,platinum ounces
MONEY,€K,euros
MONEY,ISK,icelandic kronur
MONEY,crore INR,crore indian rupees
MONEY,million yen,million yen
MONEY,billion EUR,billion euros
MONEY,million €,million euros
MONEY,US$K,dollars
MONEY,UGX Billion,billion ugandan shillings
MONEY,USD  trillion,trillion united states dollars
MONEY,¥ Million,million yen
MONEY,GNF,guinean franc
MONEY,BBD,barbados dollars
MONEY,SKK,slovak korunas
MONEY,EC$m,million dollars
MONEY,LKR million,million sri lanka rupees
MONEY,A$ billion,billion dollars
MONEY,US$million,million dollars
MONEY,NT$ million,million dollars
MONEY,¥  trillion,trillion yen
MONEY,zl,zlotys
MONEY,$US,dollars
MONEY,$  m,million dollars
MONEY,ATS,austrian schillings and groschen
MONEY,million NOK,million norwegian kroner
MONEY,£MILLION,million pounds
MONEY,GBP m,million british pounds
MONEY,Yen,yen
MONEY,million US$,million dollars
MONEY,USD m,million united states dollars
MONEY,million GBP,million british pounds
MONEY,Rs bn,billion rupees
MONEY,CHF million,million swiss francs
MONEY,USD Billion,billion united states dollars
MONEY,HKD,hong kong dollars
MONEY,DM A,german marks
MONEY,£B,billion pounds
MONEY,€ Million,million euros
MONEY,AZN  million,million azerbaijani manats
MONEY,m€,million euros
MONEY,USD  billion,billion united states dollars
MONEY,MVR  million,million maldivian rufiyaas
MONEY,ZL,zlotys
MONEY,million Dollars,million dollars
MONEY,thousand CHF,swiss francs
MONEY,Billion Dollar,billion dollars
MONEY,CHF  million,million swiss francs
MONEY,£K,pounds
MONEY,Rs m,million rupees
MONEY,$  billion,billion dollars
MONEY,ℳ,marks
MONEY,VND billion,billion vietnamese dongs
MONEY,SDG,sudanese pounds
MONEY,Dollars,dollars
MONEY,NZD  million,million new zealand dollars
MONEY,DKK  billion,billion danish kroner
MONEY,€ Billion,billion euros
MONEY,$US million,million dollars
MONEY,BZ$ million,million dollars
MONEY,SEK bn,billion swedish kronor
MONEY,SEK  billion,billion swedish kronor
MONEY,CYPB,billion cypriot pounds
MONEY,million TZS,million tanzanian shillings
MONEY,NPR,nepalese rupees
MONEY,million AED,million united arab emirates dirhams
MONEY,AWG,aruban florins
MONEY,AU$ million,million dollars
MONEY,PKR,pakistani rupees
MONEY,MRO,mauritanian ouguiyas
MONEY,CZK  billion,billion czech korunas
MONEY,INR crore,crore indian rupees
MONEY,AED million,million united arab emirates dirhams
MONEY,Rs  b,billion rupees
MONEY,NZD,new zealand dollars
MONEY,MOP,macanese patacas
MONEY,KRW,million korean won
MONEY,T$ thousand,pa
MONEY,£billion,billion pounds
MONEY,billion ¥,billion yen
MONEY,S$ billion,billion dollars
MONEY,Rs Cr,crore rupees
MONEY,Rs  crores,crore rupees
MONEY,B€,billion euros
MONEY,EUR  million,million euros
MONEY,GBP  million,million british pounds
MONEY,MOP$,patacas
MONEY,PLN,polish zlotys
MONEY,lakh INR,lakh indian rupees
MONEY,CLP,chilean pesos
MONEY,RD$,pesos
MONEY,USD  thousand,united states dollars
MONEY,Tk  crore,crore takas
MONEY,Million Yen,million yen
MONEY,US$bn,billion dollars
MONEY,EGP,egyptian pounds
MONEY,$US  million,million dollars
MONEY,$ BILLION,billion dollars
MONEY,AED  million,million united arab emirates dirhams
MONEY,K won,won
MONEY,SGD,singapore dollars
MONEY,Million €,million euros
MONEY,trillion AED,trillion united arab emirates dirhams
MONEY,MVR,maldivian rufiyaas
MONEY,MYR  million,million malaysian ringgit
MONEY,€ m,million euros
MONEY,NT$,dollars
MONEY,Tk  lakh,threelakh takas
MONEY,INR  million,million indian rupees
MONEY,$tn,trillion dollars
MONEY,MCF,monegasque francs
MONEY,NLG,million netherlands guilders
MONEY,IRR,iranian rials
MONEY,Tk,takas and paise
MONEY,KMF,sil
MONEY,NAD,namibian dollars
MONEY,T$ billion,billion pa
MONEY,KES billion,onebillion kenyan shillings
MONEY,BDT  million,million bangladeshi takas
MONEY,HUF,hungarian forints
MONEY,US$ thousand,dollars
MONEY,NPRB,billion nepalese rupees
MONEY,¥ trillion,trillion yen
MONEY,SARB,billion saudi riyals
MONEY,BDT  billion,billion bangladeshi takas
MONEY,EC$ million,million dollars
MONEY,UAH  billion,billion ukrainian hryvnias
MONEY,SLL,sierra leonean leones
MONEY,M EUR,million euros
MONEY,GRD,greek drachmas
MONEY,HK$million,million dollars
MONEY,PHP  million,million philippine pesos
MONEY,NGN billion,billion nigerian nairas
MONEY,JPY,japanese yen
MONEY,NOKm,million norwegian kroner
MONEY,VND trillion,trillion vietnamese dongs
MONEY,HRK,croatian kunas
MONEY,thousand LTL,lithuanian litass
MONEY,PTE,portuguese escudos
MONEY,£ T,trillion pounds
MONEY,Tk cr,crore takas
MONEY,NZ$m,million dollars
MONEY,INR  billion,billion indian rupees
MONEY,UAH,million ukrainian hryvnias
MONEY,Lakhs Rs,lakh rupees
MONEY,billion SEK,billion swedish kronor
MONEY,INRbillion,billion indian rupees
MONEY,THB  billion,billion thai bahts
MONEY,INR  cr,crore indian rupees
MONEY,AFN,million afghan afghanis
MONEY,PHP million,million philippine pesos
MONEY,HUF  billion,billion hungarian forints
MONEY,million INR,million indian rupees
MONEY,EUR  Million,million euros
MONEY,US$  Million,million dollars
MONEY,USD  Billion,billion united states dollars
MONEY,¥  billion,billion yen
MONEY,WST,samoan talas
MONEY,Rs  Crores,fivecrore rupees
MONEY,Rs k,rupees
MONEY,Million dollar,million dollars
MONEY,$A,dollars
MONEY,INR  crores,crore indian rupees
MONEY,M $,million dollars
MONEY,trillion yuan,trillion yuan
MONEY,US$b,billion dollars
MONEY,billion CNY,billion chinese yuan
MONEY,b yuan,billion yuan
MONEY,NOK  Million,million norwegian kroner
MONEY,trillion KES,trillion kenyan shillings
MONEY,Million Won,million won
MONEY,$ B,billion dollars
MONEY,BYR,belarusian rubles
MONEY,billion FRF,billion french francs
MONEY,US$trillion,trillion dollars
MONEY,HKD  Bn,billion hong kong dollars
MONEY,VAL,vatican liras
MONEY,CHF  billion,billion swiss francs
MONEY,SYP,syrian pounds
MONEY,AU$bn,billion dollars
MONEY,VND  million,million million vietnamese dongs
MONEY,$A million,million dollars
MONEY,Million dollars,million dollars
MONEY,ANG,netherlands antillean guilders
MONEY,RS CRORE,crore rupees
MONEY,LBP,lebanese pound
MONEY,MYR,malaysian ringgit
MONEY,S$k,dollars
MONEY,Million USD,million united states dollars
MONEY,HRK  billion,billion croatian kunas
MONEY,$BN,billion dollars
MONEY,SI$,dollars
MONEY,GBP million,million british pounds
MONEY,BRL  million,million brazilian reals
MONEY,R$ trillion,trillion reals
MONEY,GHS,ghanaian cedi and pesewas
MONEY,trillion dollars,trillion dollars
MONEY,rs  crore,crore rupees
MONEY,ETB,ethiopian birr
MONEY,INR  Crores,crore indian rupees
MONEY,lakhs INR,lakh indian rupees
MONEY,bn DM,billion german marks
MONEY,Lac Rs,lakh rupees
MONEY,PGK million,million papua new guinean kinas
MONEY,$USm,million dollars
MONEY,$US  Billion,billion dollars
MONEY,€ bn,billion euros
MONEY,£ thousand,pounds
MONEY,Rs lacs,lakh rupees
MONEY,Billion USD,billion united states dollars
MONEY,€ trillion,trillion euros
MONEY,AZN,azerbaijani manats
MONEY,USDB,billion united states dollars
MONEY,S$b,billion dollars
MONEY,bn USD,billion united states dollars
MONEY,USD  bn,billion united states dollars
MONEY,US$B,billion dollars
MONEY,NOK m,million norwegian kroner
MONEY,XAG,silver ounces
MONEY,AED billion,billion united arab emirates dirhams
MONEY,Rs  lakhs,lakh rupees
MONEY,dollars,million dollars
MONEY,billion INR,fivebillion indian rupees
MONEY,Rs,million rupees
MONEY,u$s,dollars
MONEY,M€,million euros
MONEY,AUD,australian dollars
MONEY,¥ million,million yen
MONEY,EUR,euro cents
MONEY,Rs  Crore,ninecrore rupees
MONEY,US$k,dollars
MONEY,HK$ k,dollars
MONEY,A$ billion,fourbillion dollars
MONEY,Rs crore,twocrore rupees
MONEY,BIF,burundian francs
MONEY,INR  Trillion,trillion indian rupees
MONEY,MXN,mexican pesos
MONEY,LBP,lebanese pounds
MONEY,JPY,million japanese yen
MONEY,ILS,israeli new sheqel
MONEY,billion VND,billion vietnamese dongs
MONEY,PHP,philippine pesos
MONEY,USDbn,billion united states dollars
MONEY,dollar,million dollars
MONEY,Tk,takas
MONEY,million AZN,million azerbaijani manats
MONEY,Kwon,won
MONEY,million Yen,million yen
MONEY,LKR,sri lanka rupees
MONEY,A$M,million dollars
MONEY,Rs  Crores,crore rupees
MONEY,Rs K,rupees
MONEY,KES,kenyan shillings
MONEY,Rs  lac,lakh rupees
MONEY,billion US$,billion dollars
MONEY,MNT,mongolian tugriks
MONEY,¥,yen
MONEY,€Bn,billion euros
MONEY,ATS,austrian schillings
MONEY,GBP BN,billion british pounds
MONEY,INR  Cr,crore indian rupees
MONEY,VEF,venezuelan bolivar fuertes
MONEY,HK$M,million dollars
MONEY,MOP  billion,billion macanese patacas
MONEY,SML,sammarinese liras
MONEY,million RSD,million serbian dinars
MONEY,AOA,angolan kwanza
MONEY,LAK,lao kips
MONEY,$Bn,billion dollars
MONEY,£ MILLION,million pounds
MONEY,MOP$,avos
MONEY,BAM,bosnia and herzegovina convertible marks
MONEY,BGN,bulgarian levs
MONEY,KHR,cambodian riels
MONEY,$US  billion,billion dollars
MONEY,UAH,ukrainian hryvnias
MONEY,SEK  million,million swedish kronor
MONEY,HNL,honduran lempiras
MONEY,G$,dollars
MONEY,$HK,dollars
MONEY,S$m,million dollars
MONEY,US$ bn,billion dollars
MONEY,ZL,billion million zlotys and grosz
MONEY,$  Bn,billion dollars
MONEY,ZAR  million,million south african rands
MONEY,TWD,new taiwan dollars
MONEY,K USD,united states dollars
MONEY,M USD,million united states dollars
MONEY,R$M,million reals
MONEY,HK$m,million dollars
MONEY,OMR,omani rials
MONEY,QAR  million,million qatari rials
MONEY,Rs  Lac,threelakh rupees
MONEY,$A billion,billion dollars
MONEY,billion$,billion dollars
MONEY,£m A,million pounds
MONEY,$Am,million dollars
MONEY,EUR Million,million euros
MONEY,m dollars,million dollars
MONEY,TRS,trillion rupees
MONEY,trillion yen,trillion yen
MONEY,$ Bn,billion dollars
MONEY,US$Bn,billion dollars
MONEY,million $,million dollars
MONEY,R$  million,million reals
MONEY,JA$ million,million dollars
MONEY,PKR  billion,billion pakistani rupees
MONEY,million ¥,million yen
MONEY,EUR billion,billion euros
MONEY,B$m,million dollars
MONEY,PLN billion,billion polish zlotys
MONEY,SRD,surinamese dollars and cents
MONEY,INR  Billion,billion indian rupees
MONEY,billion ISK,billion icelandic kronur
MONEY,€  bn,billion euros
MONEY,M$,million dollars
MONEY,VND,million vietnamese dongs
MONEY,KRW,korean won
MONEY,GBPm,million british pounds
MONEY,€  Million,million euros
MONEY,Rs Bn,billion rupees
MONEY,BUSD,billion united states dollars
MONEY,YEN,yen
MONEY,CNY Billion,billion chinese yuan
MONEY,B$,dollars
MONEY,SEK million,million swedish kronor
MONEY,DEM,german marks
MONEY,MILLION USD,million united states dollars
MONEY,MDM,million german marks
MONEY,million Yuan,million yuan
MONEY,NGN  billion,billion nigerian nairas
MONEY,Rs lakhs,lakh rupees
MONEY,Rs billion,billion rupees
MONEY,SEK m,million swedish kronor
MONEY,Billion Yuan,billion yuan
MONEY,$US Million,million dollars
MONEY,DMmillion,million german marks
MONEY,thousand dollars,dollars
MONEY,Rs crores,crore rupees
MONEY,£ BILLION,onebillion pounds
MONEY,LKR  million,million sri lanka rupees
MONEY,CNY,chinese yuan
MONEY,NZ$bn,billion dollars
MONEY,MYR million,million malaysian ringgit
MONEY,¥million,million yen
MONEY,MDL,moldovan leus
MONEY,Rs lakh,lakh rupees
MONEY,PKR,pakistani rupees and paisa
MONEY,BZ$,dollars
MONEY,€  billion,billion euros
MONEY,$NZ million,million dollars
MONEY,VND  trillion,trillion vietnamese dongs
MONEY,CNY  billion,billion chinese yuan
MONEY,BDS$ million,million dollars
MONEY,billion NOK,billion norwegian kroner
MONEY,JPY  billion,billion japanese yen
MONEY,$  thousand,dollars
MONEY,ESP,spanish pesetas
MONEY,BGN  million,million bulgarian levs
MONEY,PHP trillion,trillion philippine pesos
MONEY,M €,million euros
MONEY,UZS,uzbekistan soms
MONEY,k DKK,danish kroner
MONEY,G$ million,million dollars
MONEY,Rs  thousand,rupees
MONEY,Tk  lakh,lakh takas
MONEY,£ Billion,billion pounds
MONEY,m €,million euros
MONEY,SIT,slovenian tolar
MONEY,PLN  million,million polish zlotys
MONEY,EUR bn,billion euros
MONEY,MYR billion,billion malaysian ringgit
MONEY,TK,takas
MONEY,XAF,sil
MONEY,CNY  million,million chinese yuan
MONEY,LAKB,billion lao kips
MONEY,billion LYD,billion libyan dinars
MONEY,Rs Lakh,lakh rupees
MONEY,£Million,million pounds
MONEY,KRW  trillion,trillion korean won
MONEY,million VND,million vietnamese dongs
MONEY,Rs  Lakh,lakh rupees
MONEY,€B,billion euros
MONEY,AU$m,million dollars
MONEY,us$ million,million dollars
MONEY,US$T,trillion dollars
MONEY,DEM  million,million german marks
MONEY,AUD  million,million australian dollars
MONEY,million CZK,million czech korunas
MONEY,£  TRILLION,trillion pounds
MONEY,TMNT,trillion mongolian tugriks
MONEY,AU$ billion,billion dollars
MONEY,BWPM,million botswana pulas
MONEY,DMM,million german marks
MONEY,BRL,brazilian reals
MONEY,billion GNF,billion guinean francs
MONEY,M DM,million german marks
MONEY,NGN,million nigerian nairas
MONEY,A$  million,million dollars
MONEY,S$bn,billion dollars
MONEY,LVL,latvian latss
MONEY,€billion,billion euros
MONEY,MTL,maltese liras
MONEY,€,million euros
MONEY,US$,million dollars
MONEY,PGK  million,million papua new guinean kinas
MONEY,billion HUF,billion hungarian forints
MONEY,Million Dollars,million dollars
MONEY,NGN,nigerian nairas
MONEY,INR  Lakhs,lakh indian rupees
MONEY,US$  trillion,trillion dollars
MONEY,billion PHP,billion philippine pesos
MONEY,KRW  billion,billion korean won
MONEY,£BN,billion pounds
MONEY,JPY  million,million japanese yen
MONEY,USD Million,million united states dollars
MONEY,us$m,million dollars
MONEY,KESbn,billion kenyan shillings
MONEY,SEK,million swedish kronor
MONEY,zl,zloty
MONEY,EUR  m,million euros
MONEY,Rs crores,ninecrore rupees
MONEY,$US,million dollars
MONEY,Rs Lakhs,lakh rupees
MONEY,billion PLN,billion polish zlotys
MONEY,HK$bn,billion dollars
MONEY,MOP,macanese pataca
MONEY,trillion yuan,ninetrillion yuan
MONEY,DM million,million german marks
MONEY,thousand USD,united states dollars
MONEY,million rs,million rupees
MONEY,EURm,million euros
MONEY,BMDM,million bermudian dollars
MONEY,AED,united arab emirates dirhams
MONEY,HK$b,billion dollars
MONEY,CNY,million chinese yuan
MONEY,MYR,million malaysian ringgit
MONEY,SGD  million,million singapore dollars
MONEY,CNY million,million chinese yuan
MONEY,FIM  million,million finnish markkas
MONEY,m dollar,million dollars
MONEY,million MKD,million macedonian denars
MONEY,EEK,estonian kroon
MONEY,M Yen,million yen
MONEY,$  Million,million dollars
MONEY,PHP  billion,billion philippine pesos
MONEY,HK$  million,million dollars
MONEY,DOP,dominican pesos
MONEY,ZARmillion,million south african rands
MONEY,Rs  Million,million rupees
MONEY,CYP,cypriot pound
MONEY,ITL,million italian liras
MONEY,MBGN,million bulgarian levs
MONEY,A$ Billion,billion dollars
MONEY,EURk,euros
MONEY,LKR billion,billion sri lanka rupees
MONEY,Billion ISK,billion icelandic kronur
MONEY,$NZ  million,million dollars
MONEY,£ million A,million pounds
MONEY,CDF,congolese francs
MONEY,billion Won,billion won
MONEY,MARS,million argentine pesos
MONEY,LSL,lesotho lotis
MONEY,B$,billion dollars
MONEY,US$  Billion,billion dollars
MONEY,CNY billion,billion chinese yuan
MONEY,ISK  million,million icelandic kronur
MONEY,Rs  m,million rupees
MONEY,Rs  Lakhs,lakh rupees
MONEY,HK$k,dollars
MONEY,Yen,billion yen
MONEY,USD  m,million united states dollars
MONEY,FIMB,billion finnish markkas
MONEY,PGK billion,billion papua new guinean kinas
MONEY,AED b,billion united arab emirates dirhams
MONEY,USD K,united states dollars
MONEY,NT$M,million dollars
MONEY,JPY billion,billion japanese yen
MONEY,EGP  billion,billion egyptian pounds
MONEY,EURB,billion euros
MONEY,R$  billion,billion reals
MONEY,CHFm,million swiss francs
MONEY,Yuan,million yuan
MONEY,TMT,turkmenistani manats
MONEY,HK$  billion,billion dollars
MONEY,HUF M,million hungarian forints
MONEY,million CHF,million swiss francs
MONEY,DM  T,trillion german marks
MONEY,RD$ million,million pesos
MONEY,RWF  billion,billion rwandan francs
MONEY,MTLb,billion maltese liras
MONEY,INR  Crore,crore indian rupees
MONEY,¥ bn,billion yen
MONEY,UGX  trillion,trillion ugandan shillings
MONEY,UAH million,million ukrainian hryvnias
MONEY,$US billion,billion dollars
MONEY,billion KRW,billion korean won
MONEY,US$ MILLION,million dollars
MONEY,million PHP,million philippine pesos
MONEY,EUR million,million euros
MONEY,INR  Trillion,twotrillion indian rupees
MONEY,EUR  bn,billion euros
MONEY,USD k,united states dollars
MONEY,HKD  million,million hong kong dollars
MONEY,ERN,eritrean nakfa
MONEY,KES  million,million kenyan shillings
MONEY,FIM  billion,billion finnish markkas
MONEY,Rsbn,billion rupees
MONEY,MUSD,million united states dollars
MONEY,JMD,jamaican dollars
MONEY,€  MILLION,million euros
MONEY,billion KES,billion kenyan shillings
MONEY,NZ$M,million dollars
MONEY,MYR  billion,billion malaysian ringgit
MONEY,S/,centimos
MONEY,ZL,zloty
MONEY,Rs  bn,billion rupees
MONEY,billion TWD,billion new taiwan dollars
MONEY,US$Million,million dollars
MONEY,PHP,million philippine pesos
MONEY,BSD,bahamian dollars and cents
MONEY,million HUF,million hungarian forints
MONEY,B$,million dollars
MONEY,€ billion,onebillion euros
MONEY,AFN,afghan afghanis
MONEY,million yen,sixmillion yen
MONEY,US$  Trillion,trillion dollars
MONEY,FRF,million french francs
MONEY,GBP,british pounds and pence
MONEY,EUR M,million euros
MONEY,TZS,tanzanian shillings
MONEY,ETB,ethiopian birrs
MONEY,£ trillion,eighttrillion pounds
MONEY,UGX,ugandan shillings
MONEY,million zl,million zlotys
MONEY,£ bn,billion pounds
MONEY,US$ M,million dollars
MONEY,TRs,trillion rupees
MONEY,R$k,reals
MONEY,LTL  million,million lithuanian litass
MONEY,$HK  million,million dollars
MONEY,руб,kopek
MONEY,MOP billion,billion macanese patacas
MONEY,DOLLARS,dollars
MONEY,Tk b,billion takas
MONEY,EUR  Billion,billion euros
MONEY,S$M,million dollars
MONEY,DJF,djiboutian francs
MONEY,Bn €,billion euros
MONEY,CZK,czech korunas and halers
MONEY,KRW  billion,million billion korean won
MONEY,Bn€,billion euros
MONEY,PKR  million,million pakistani rupees
MONEY,billion PHP,fivebillion philippine pesos
MONEY,billion AZN,billion azerbaijani manats
MONEY,NPR,nepalese rupee
MONEY,$  B,billion dollars
MONEY,INR million,million indian rupees
MONEY,Tk  billion,billion takas
MONEY,HRK  million,million croatian kunas
MONEY,NT$bn,billion dollars
MONEY,Rs  trillion,trillion rupees
MONEY,KWD  million,million kuwaiti dinars
MONEY,CAD billion,billion canadian dollars
MONEY,$A,million dollars
MONEY,AU$,dollars and cents
MONEY,Zl,zlotys
MONEY,S$  million,million dollars
MONEY,RSD million,million serbian dinars
MONEY,million DZD,million algerian dinars
MONEY,ZAR billion,billion south african rands
MONEY,FJ$ million,million dollars
MONEY,EC$,dollars
MONEY,THB million,million thai bahts
MONEY,SGD  billion,billion singapore dollars
MONEY,THB  million,million thai bahts
MONEY,Million DM,million german marks
MONEY,Tk  million,million takas
MONEY,billion JPY,billion japanese yen
MONEY,IEP,irish pounds
MONEY,NLG million,million netherlands guilders
MONEY,Rs  Crore,crore rupees
MONEY,VND  billion,billion vietnamese dongs
MONEY,KES billion,billion kenyan shillings
MONEY,SHP,saint helena pound
MONEY,¥b,billion yen
MONEY,Tk crore,crore takas
MONEY,Rs lac,lakh rupees
MONEY,Million EUR,million euros
MONEY,bn AZN,billion azerbaijani manats
MONEY,BDS$,dollars
MONEY,ANG,million netherlands antillean guilders
MONEY,USDBn,billion united states dollars
MONEY,billion KZT,billion kazakhstaniges
MONEY,VUV million,million vanuatu vatus
MONEY,CZK  million,million czech korunas
MONEY,TND,tunisian dinars
MONEY,J$ million,million dollars
MONEY,$trillion,trillion dollars
MONEY,£Bn,billion pounds
MONEY,billion €,billion euros
MONEY,RWF,rwandan franc
MONEY,EURM,million euros
MONEY,bn dollars,billion dollars
MONEY,USD bn,billion united states dollars
MONEY,MVR  billion,billion maldivian rufiyaas
MONEY,crores Rs,crore rupees
MONEY,k€,euros
MONEY,$AM,million dollars
MONEY,t $,trillion dollars
MONEY,CZK m,million czech korunas
MONEY,$  bn,billion dollars
MONEY,DM trillion,trillion german marks
MONEY,ITL,italian liras
MONEY,MXN  million,million mexican pesos
MONEY,PHP billion,billion philippine pesos
MONEY,SDG billion,billion sudanese pounds
MONEY,B won,billion won
MONEY,EURbn,billion euros
MONEY,million Dollar,million dollars
MONEY,PHP M,million philippine pesos
MONEY,$  Billion,billion dollars
MONEY,AED Million,million united arab emirates dirhams
